Job_Title,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees,Company_Industry
PhD Data Analyst,Data Analysis| R| Python| SQL,Jobspring Partners,31,3.700000048,8,IL,,Human Resources and Staffing
Data Analyst Coordinator (CompuMark) (Watch),Microsoft Office| SharePoint| Leadership Experience,Clarivate Analytics,32,3.599999905,20,MA,"Less than 10,000",
Quality Incentive Programs Data Analyst,Data Mining| Microsoft Powerpoint| Project Management| Microsoft Office| SQL| Excel,Healdsburg District Hospital,32,3.200000048,18,CA,,Health Care
Data Analyst,Microsoft SQL Server| Power BI| R| Crystal Reports| SQL| Tableau,Horizon Health Services,32,3,30,NY,,Health Care
Forecasting Data Analyst,R| SAS| SQL| Microsoft Office| Tableau,Etsy,32,4.400000095,30,NY,,
"Data Analyst, Finance Analytics",Accounting| Ruby| Hadoop| Project Management| R| Python| SQL,Etsy,32,4.400000095,12,NY,,
Technology and Data Analyst - Associate Director (Ratings Ri...,Natural Language Processing| Data Mining| Machine Learning| Data Warehouse| Visual Basic| Python| SQL| Tableau,McGraw Hill Financial,32,3.599999905,30,NY,,Banks and Financial Services
Data Analyst,Microsoft SQL Server| SQL| Tableau,Healthtronics,33,3.700000048,30,TX,,
Associate Data Analyst-Integra,R| Python| SQL,Care New England Health System,33,3.599999905,30,RI,,Health Care
Data Analyst,Data Mining| R| SAS| SQL| Tableau| Python,United Fire Group,33,3.5,30,IA,"Less than 10,000",Insurance
Data Analyst,Excel| SQL| Tableau,Fullscreen Media,33,4.199999809,30,CA,,
Data Analyst,Excel| SQL| Tableau,Fullscreen,33,4.199999809,30,CA,,
Sr Data Analyst,Pig| Hive| Machine Learning| Hadoop| Perl| Spark| Python,Oath Inc,33,3.900000095,30,CA,,Telecommunications
Retail Data Analyst,Quantitative Analysis| Machine Learning| Hadoop| R| SAS| SQL| Analysis Skills| Python,Clearpoint,33,3.299999952,30,TX,,
"Director, Product - Data & Analytics",Machine Learning| Management Experience| SQL| Tableau,Fullscreen Media,33,4.199999809,30,CA,,
"Director, Product - Data & Analytics",Machine Learning| SQL| Tableau,Fullscreen,33,4.199999809,30,CA,,
Data Analyst Intern,Data Mining| Technical Writing| R| SQL| Excel| Tableau| Confluence| MySQL| Python| Jira,Sony Interactive Entertainment PlayStation,34,3.599999905,4,CA,,Computers and Electronics
Data Analyst,Microsoft Powerpoint| Visual Basic| R| SAS| Microsoft Office| SQL| Tableau,"Federal Management Systems, Inc.",34,3.900000095,14,MD,,
Data Analyst,Microsoft Powerpoint| Marketing| SAS| SQL| Microsoft Office| Tableau| Multichannel Marketing,The Boston Globe,34,3.599999905,30,MA,,
Epidemiologist and Data Analyst-FHP,Statistical Software| SPSS,BRS,34,3.700000048,26,TX,,
Epidemiologist and Data Analyst-FHP,Statistical Software| SPSS,BRS,34,3.700000048,26,TX,,
Audience Data Analyst (PlayStation Vue) (Contract),Email Marketing| Omniture| SQL,Sony Interactive Entertainment PlayStation,34,3.599999905,16,CA,,Computers and Electronics
Customer Operations - Data Analyst,Microsoft SQL Server| Data Warehouse| Power BI| Visual Basic| R| Oracle| Python| SQL| Tableau,OneSource Virtual,34,2.900000095,30,TX,,
HR Data Analyst,Microsoft Powerpoint,uJoynus,34,3.799999952,30,CA,"Less than 10,000",Industrial Manufacturing
Data Analyst,Microsoft Powerpoint| SPSS| Data Analysis| Statisical Analysis| Quantitative Research| Excel| SQL,UNITED NEGRO COLLEGE FUND,35,3.799999952,21,DC,,
Data Analyst,Quantitative Analysis| R| Python| SQL,Quinstreet,35,2.700000048,6,CA,,
Senior Data Analyst,Quantitative Analysis| R| Python| SQL,Quinstreet,35,2.700000048,6,CA,,
"Assistant Vice President, Data and Analytics, Strategy & Dis...",Microsoft Word| Data Mining| Microsoft Powerpoint,Arch Capital Group Ltd.,35,4.199999809,30,CT,,
"Analytics Senior Manager, Ads",Java| Big Data| Spark| Hadoop| Scala| Python| SQL| Tableau,Spotify,35,4.300000191,30,NY,"Less than 10,000",Internet and Software
Data Analyst,Data Mining| Microsoft Powerpoint| SDLC| Microsoft Office| SQL| Microsoft Word| Data Warehouse| Visio| Data Analysis,Superior Vision,36,2.400000095,30,MD,,
Financial Crimes Data Analyst,Machine Learning| SQL| Tableau| Big Data| Troubleshooting| Data Warehouse| Informatica| Shell Scripting| Python| DB2,"Open Systems Technologies, Inc.",36,4,29,NY,"Less than 10,000",Consulting and Business Services
Business Data Analyst-Gov't Programs,Microsoft SQL Server| Time Management| Project Management| SDLC| Microsoft Office| Tableau| Analysis Skills,FirstCare Health Plans,37,2.900000095,30,TX,,
Data Analyst - (Sales),SAP| Microsoft Office| Financial Modeling,Straumann,38,3.200000048,25,MA,"Less than 10,000",Industrial Manufacturing
Workforce Data Analyst,Data Analysis,USfalcon,39,4.099999905,30,DC,,
Data Analyst,JavaScript| Microsoft SQL Server| Time Management| SQL| Excel| JSON| Tableau| Angular,Brightree,39,3.599999905,29,GA,,Consulting and Business Services
Data Analyst (Field),R| SQL| Tableau| STATA| Predictive Analytics| SPSS| Business Analysis,Hiscox Ltd,39,3.900000095,30,GA,"Less than 10,000",Insurance
Data Analyst,Microsoft Powerpoint| Microsoft Office,ANB Bank,41,3.5,30,CO,,Banks and Financial Services
Healthcare Data Analyst,Microsoft SQL Server,"Baltimore Medical System, Inc.",41,2.799999952,30,MD,,
Data Analyst,Perl| Python| SQL,CONTINUUM,41,3.5,30,CA,"Less than 10,000",Consulting and Business Services
"SQL Data Analyst, Analyst/Officer",Data Warehouse| SQL,MUFG,41,2.599999905,30,CA,"10,000+",Banks and Financial Services
"SQL Data Analyst, Analyst/Officer",Data Warehouse| SQL,MUFG,41,2.599999905,30,AZ,"10,000+",Banks and Financial Services
"SQL Data Analyst, Analyst/Officer",Data Warehouse| SQL,MUFG,41,2.599999905,30,NJ,"10,000+",Banks and Financial Services
"Enterprise Data Platform, Data Analyst",Time Management| SDLC| SQL| Tableau| Java| Git| Python| Jira| Jenkins| AWS,MUFG,41,2.599999905,30,NJ,"10,000+",Banks and Financial Services
Advanced Data Analyst I,Microsoft Word| Time Management| Microsoft Powerpoint| SPSS| R| SAS| SQL,Hawaii Medical Service Association,42,3.400000095,30,HI,"Less than 10,000",Health Care
Data Analyst,Time Management| Microsoft Office,Hawaii Medical Service Association,42,3.400000095,30,HI,"Less than 10,000",Health Care
Financial Data Analyst,Analysis Skills,New York State Office of the Attorney General,42,4.199999809,30,NY,,Government
DATA ANALYST,Microsoft Word| Time Management| Excel| Tableau,Tampa Family Health Centers,43,2.900000095,7,FL,,
Marketing Data Analyst,,alliantgroup,43,2.5,11,TX,"Less than 10,000",Consulting and Business Services
Market Data Analyst,,alliantgroup,43,2.5,30,TX,"Less than 10,000",Consulting and Business Services
Senior Data Analyst,MATLAB,EnerNOC,43,3.799999952,30,OR,"Less than 10,000",Energy and Utilities
Data Analyst 1,Data Mining| Power BI| R| Azure| SQL| Tableau| Spark| QlikView| Informatica| Python| OOP,Donnelley Financial Solutions,43,3.099999905,21,IL,"Less than 10,000",Consulting and Business Services
Data Analyst - Content Team,SQL| Data Analysis,Twitch,44,4.5,30,CA,"Less than 10,000","Media, News and Publishing"
Data Analyst (U.S. Border Patrol),Microsoft Word| SharePoint| Microsoft Powerpoint| Power BI| Tableau,Logistics Management Institute,44,4,30,VA,,
Data Analyst - Operational Excellence,Go| SQL| Tableau| Data Analysis| Python,Twitch,44,4.5,30,CA,"Less than 10,000","Media, News and Publishing"
Data Analyst - Video Platform,Go| SQL| Tableau| Data Analysis| Python,Twitch,44,4.5,30,CA,"Less than 10,000","Media, News and Publishing"
Senior Data Analyst - Bits,SQL| Data Analysis,Twitch,44,4.5,30,WA,"Less than 10,000","Media, News and Publishing"
Senior Data Analyst,SQL| Data Analysis,Twitch,44,4.5,30,WA,"Less than 10,000","Media, News and Publishing"
Health Policy Data Analyst,R| SAS| Excel| SQL| STATA| Data Analysis| Python| Audits,Logistics Management Institute,44,4,19,VA,,
Modeling and Data Analyst,R| C/C++| SQL| Java| Natural Language Processing| MATLAB| OOP| Python,Logistics Management Institute,44,4,30,VA,,
Technical Data Analyst,Cerner| Time Management| Microsoft Powerpoint| XML| Power BI| JSON| Microsoft Office,U.S. Anesthesia Partners,45,3.200000048,2,TX,"Less than 10,000",Health Care
Data Analyst,Statisical Analysis| SQL| Tableau,BI Worldwide,45,4,30,MN,,
Healthcare Data Analyst,Microsoft SQL Server| Machine Learning| Power BI| R| SAS| Oracle| SQL| Excel| Leadership Experience,Health Dialog,45,3.900000095,12,MA,,
Data Analyst II,Business Intelligence| SQL| QlikView,Adventist Health System,46,3.799999952,5,TX,,Health Care
"Data Analyst, Research",R| Oracle| SAS| Python| SQL| Microsoft Office| Tableau,Trinity Health,46,4.199999809,30,MI,,Health Care
Data Analyst - CRM,Machine Learning| Microsoft Powerpoint| Project Management| Marketing| Digital Marketing| Omniture| SQL| Excel| Tableau| iWork| Spark| Attribution Modeling,Disney,46,4.300000191,7,CA,"10,000+","Restaurants, Travel and Leisure"
36th EWS Mission Data Analyst,,DCS Corp,46,4.5,30,FL,"Less than 10,000",Aerospace and Defense
Junior Data Analyst,SQL,ThirdLove,47,4,12,CA,"Less than 10,000",Consumer Goods and Services
Junior Data Analyst,SQL,ThirdLove,47,4,30,CA,"Less than 10,000",Consumer Goods and Services
Data Analyst,Google Analytics| SQL| Tableau,ThirdLove,47,4,12,CA,"Less than 10,000",Consumer Goods and Services
Data Analyst,Data Mining| Data Analysis| SAS| SQL,Community Behavioral Health,47,3.799999952,30,PA,"Less than 10,000",Organization
Data Analyst,Google Analytics| SQL| Tableau,ThirdLove,47,4,30,CA,"Less than 10,000",Consumer Goods and Services
Data Analyst,Excel| Leadership Experience,Ellis Medicine,48,3.900000095,26,NY,,
Data Analyst,Microsoft SQL Server| Time Management| R| SQL| Tableau| Data Analysis| Python,Berkadia Commercial Mortgage,48,3.900000095,30,PA,"Less than 10,000",Real Estate
Data Analyst - Business Intelligence,Big Data| Business Intelligence| Data Warehouse| SQL| Tableau,goPuff,48,2.599999905,27,PA,,Consumer Goods and Services
"Initiative - Senior Analyst, Analytics",Microsoft Powerpoint| Visual Basic| Python| SQL| Microsoft Office| Tableau,IPG Mediabrands,48,3.700000048,1,NY,,"Media, News and Publishing"
"Initiative - Senior Analyst, Analytics",Microsoft Powerpoint| Visual Basic| Python| SQL| Microsoft Office| Tableau,IPG Mediabrands,48,3.700000048,1,NY,,"Media, News and Publishing"
Data Analyst within a Data Science Group,JavaScript| Design Patterns| Machine Learning| SDLC| R| Python,Berkadia Commercial Mortgage,48,3.900000095,30,PA,"Less than 10,000",Real Estate
"Healix - Senior Analyst, Analytics, Business Intelligence",Microsoft Powerpoint| Visual Basic| Doubleclick| Python| SQL| Microsoft Office| Tableau,IPG Mediabrands,48,3.700000048,1,NY,,"Media, News and Publishing"
Healthcare Data Analyst,Leadership Experience| Excel| Tableau,NaviHealth,49,3.299999952,14,TN,,Health Care
Senior Data Analyst,Hive| Data Mining| Hadoop| Python| SQL| Tableau,Robert Walters,49,3.799999952,29,NY,,Human Resources and Staffing
eBusiness Data Analyst,Google Analytics| Machine Learning| Microsoft Powerpoint| R| SQL| Spark| MATLAB| Python,EMD,50,4,30,MO,"10,000+",Industrial Manufacturing
Data Analyst - Healthcare Payer,XML| Data Analysis| SQL| Microsoft Access,Perficient,50,3.400000095,30,MA,"Less than 10,000",Consulting and Business Services
Lead Data Analyst and Mapper - Healthcare Provider,SQL,Perficient,50,3.400000095,30,WV,"Less than 10,000",Consulting and Business Services
Head of eBusiness Analytics and Data Science,Machine Learning| Marketing Automation| Leadership Experience,EMD,50,4,30,MO,"10,000+",Industrial Manufacturing
Lead SAP Master Data Analyst,Project Implementation| SAP,L Brands,50,3.700000048,30,OH,,
Data Analyst,R| Python| Tableau,SECU,52,3.599999905,30,MD,"Less than 10,000",Organization
Clinical Data Analyst,"Crystal Reports| SQL| Microsoft Office| ""Drivers License""| Data Analysis",Sweetser,53,3,13,ME,,
HR Data Analyst,Tableau,Creative Arts Agency (CAA),53,4,7,CA,,"Media, News and Publishing"
Senior Data Analyst,Microsoft Powerpoint| Data Analysis| SQL| Microsoft Office,"SRC, Inc.",53,3.599999905,30,NY,"Less than 10,000",Aerospace and Defense
Systems & Data Analyst,Microsoft Powerpoint| Microsoft Office| Tableau| SharePoint| Visio,City of Minneapolis,54,3.900000095,1,MN,,Government
Senior Data Analyst,ISO 9001| Quality Management| Tableau,"Allegro MicroSystems, LLC",54,4.199999809,28,NH,,
Sr. Business Analytics Manager - Data Science,Machine Learning| Microsoft Powerpoint| R| SAS| SQL| Microsoft Word| Analysis Skills| Business Analysis| Jira,Medidata Solutions,54,3.700000048,8,NY,,Internet and Software
Data Analyst,OBIEE| Power BI| Hadoop| R| Oracle| SQL| Tableau| Java| Data Warehouse| QlikView| Python,Abilene Christian University,55,4.300000191,2,TX,,Education and Schools
Marketing Data Analyst,Salesforce CRM| Salesforce Marketing Cloud| Microsoft Powerpoint| Marketing| Excel| Microsoft Office,The Money Source,55,2.799999952,30,MI,,
Data Analyst,,"Prospect Medical Holdings, Inc.",55,2.700000048,30,CA,,
Data Analyst,,Prospect Medical Systems,55,2.700000048,30,CA,,
Data Analyst,SAS| SQL| Microsoft Access,Bassett Healthcare,56,3.400000095,30,NY,,Health Care
Dental Products Data Analyst,Data Mining| Visual Basic| SQL| Microsoft Access,GEHA,56,3.900000095,15,MO,"Less than 10,000",Insurance
DATA ANALYST/SPECIALIST - Admitting (Full Time),Data Mining| Analysis Skills,Universal Health Services,56,4,30,DC,,Health Care
Enrollment Data Analyst - Siena College,,Siena College,56,4.099999905,18,NY,,Education and Schools
"Senior Analyst, People Analytics & Insights",Project Management| Hadoop| Business Analysis| Tableau,Palo Alto Networks,56,4.099999905,30,CA,"Less than 10,000",Internet and Software
Data Analyst,Java| STATA| R,Emmis Communications,57,4.199999809,29,IN,,
Marketing Data Analyst,SQL| Excel,Plymouth Rock Assurance Corporation,57,3.599999905,24,NJ,,Insurance
Master Data Analyst,,FARO Technologies,57,3.5,30,FL,,Industrial Manufacturing
SQL Data Analyst/Programmer/Report Writer,Business Intelligence| Microsoft SQL Server| XML| Project Management| SQL| Accounting| QlikView| Data Analysis,The Logistics Company,58,3.799999952,5,NC,"Less than 10,000",Government
Data Analyst,Business Intelligence| Microsoft Powerpoint| Project Management| Excel| Tableau| Alteryx,Neuberger Berman,61,3.799999952,30,NY,"Less than 10,000",Banks and Financial Services
CRM Admin/Data Analyst,Alteryx| Tableau,Neuberger Berman,61,3.799999952,30,NY,"Less than 10,000",Banks and Financial Services
Data Analyst (Clinical Analytics),Epic| Medical Terminology| Data Analysis,Stormont-Vail Healthcare,62,4.099999905,8,KS,"Less than 10,000",Health Care
Quality Data Analyst,"Microsoft Powerpoint| ""Drivers License""| Clean Driving Record| Leadership Experience| Microsoft Office| SQL",Altair Engineering,62,4.199999809,9,MI,,
Associate Data Analyst,Hadoop| R| SQL| Data Analysis| Python,comScore,62,3.5,30,VA,,
Claims Policy Data Analyst,RN,Commonwealth Care Alliance,62,3.5,7,MA,"Less than 10,000",Health Care
Marketing Data Analyst,Microsoft Powerpoint| Marketing Automation| Oracle| SAS| SQL| Tableau,Oxford Global Resources,63,3.299999952,20,MA,"Less than 10,000",Human Resources and Staffing
Performance Analytics Analyst,Time Management| Excel,Wyndham Hotels & Resorts,63,3.900000095,20,NJ,,
Data Analyst - Data Wrangler,Java| C/C++| Python| SQL,OneAmerica,64,3.5,2,IN,"Less than 10,000",Insurance
Sr Finance Data Analyst,Business Analysis| SQL| Tableau,LendingClub,64,3.599999905,30,CA,"Less than 10,000",Banks and Financial Services
"Data Analyst, Customer Success Cash App",Data Mining| Ruby| R| Python| SQL| Tableau,Square,64,3.900000095,6,CA,"Less than 10,000",Banks and Financial Services
Data Analyst (Research Analyst),ICD-10| Microsoft Powerpoint| SAS| Microsoft Office| ICD-9| Medical Coding,Harvard Pilgrim Health Care,65,4.099999905,13,MA,"Less than 10,000",Health Care
Marketing Data Analyst,Marketing| Attribution Modeling| SQL| Tableau,IDT Corporation,65,3.799999952,7,NJ,"Less than 10,000",Internet and Software
Global Data Analyst,Excel| Tableau| Accounting| Analysis Skills| Business Analysis,Tate & Lyle,65,3.400000095,10,IL,"Less than 10,000",Industrial Manufacturing
Algorithm Project Data Analyst,Data Mining| Python| SQL,Aptiv,65,3.900000095,30,MI,"10,000+",Computers and Electronics
Digital Data Analyst,Microsoft SQL Server| Microsoft Powerpoint| Microsoft Office| SQL| Excel| Microsoft Access,Union Bank & Trust,65,3.400000095,30,VA,"Less than 10,000",Banks and Financial Services
Data Analyst,R| Python| SQL,Cota,66,3.900000095,21,NY,,
Senior Data Analyst - MileOne Autogroup,Microsoft SQL Server| SAS| SQL| Tableau| Data Analysis,MileOne Automotive,66,2.5,16,MD,"Less than 10,000",Auto
Data Analyst,Data Analysis| Excel,Aclara,67,2.900000095,27,NY,"Less than 10,000",Energy and Utilities
"Data Analyst, Restaurants",SQL| Tableau,TripAdvisor,67,4.099999905,4,MA,"Less than 10,000",Internet and Software
Data Analyst IV,System Design| CompTIA Security+| RMF,JT4,67,4,2,CA,,
Data Analyst,Business Intelligence| Project Management| R| SAS| SQL| Python,Zimmerman Advertising,68,2.900000095,30,FL,,
Data Analyst,Business Intelligence| Project Management| R| SAS| SQL| Python,Zimmerman Advertising,68,2.900000095,18,TX,,
Sr. Data Analyst - Revenue Analytics,,"RentPath, LLC",68,3.200000048,13,GA,,
GIS DATA ANALYST,"ArcGIS| ""Drivers License""| GIS| Python",City of Tucson,70,3.700000048,19,AZ,,Government
Cards & Payments Data Analyst,Microsoft SQL Server| Data Mining| Microsoft Powerpoint| R| Oracle| SAS| SQL| Excel| Sybase| Microsoft Access| STATA| SPSS,First Tech Federal Credit Union,72,3.200000048,5,OR,,Banks and Financial Services
Data Analyst,Salesforce CRM| Data Mining| Data Warehouse| Microsoft Powerpoint| Microsoft Office,National Financial Partners,72,3.799999952,30,TX,"Less than 10,000",Insurance
HR Data Analyst,UltiPro| Microsoft Powerpoint| Excel,Rosecrance Health Network,72,3.5,29,IL,,Health Care
Software Data Analyst,Microsoft SQL Server| SQL| Microsoft Office| Data Analysis,CCC Information Services Inc.,73,3.900000095,30,NJ,"Less than 10,000",Internet and Software
Data Analyst,MATLAB,MIT Lincoln Laboratory,75,4.199999809,30,MA,"Less than 10,000",Aerospace and Defense
Sr Data Analyst,Data Mining| Microsoft Powerpoint| Data Analysis| SQL| Microsoft Office,Verscend Technologies,75,3.400000095,9,MN,,
Sr Data Analyst,Data Mining| Microsoft Powerpoint| Data Analysis| SQL| Microsoft Office,Verscend Technologies,75,3.400000095,20,MD,,
Data Analyst and Algorithm Developer,MATLAB| Signal Processing| Python| C/C++,MIT Lincoln Laboratory,75,4.199999809,19,MA,"Less than 10,000",Aerospace and Defense
Data Analyst,SQL| Data Analysis,Blackbaud,77,3.599999905,30,SC,"Less than 10,000",Internet and Software
Sr Data Analyst,Analysis Skills| Visual Basic| MATLAB,Cymer,77,3.599999905,30,CA,"Less than 10,000",Industrial Manufacturing
Data Analyst,ERP Systems| SQL| Tableau,Ascend Performance Materials,77,3.299999952,30,TX,"Less than 10,000",Industrial Manufacturing
Sr Analyst-Hotel Data Analytics,Microsoft Powerpoint| Hadoop| SQL| Microsoft Office| Tableau,Priceline.com,77,3.900000095,30,CT,"Less than 10,000","Restaurants, Travel and LeisureConsulting and Business Services"
"Senior Analyst, Hotels Data Analytics",Data Mining| Hadoop| Oracle| Python| SQL| Tableau,Priceline.com,77,3.900000095,30,CT,"Less than 10,000","Restaurants, Travel and LeisureConsulting and Business Services"
"VP, Hotel Analytics",Business Intelligence| Data Mining| SQL,Priceline.com,77,3.900000095,30,CT,"Less than 10,000","Restaurants, Travel and LeisureConsulting and Business Services"
Commercial Vehicle Data Analyst,Data Mining| Hadoop| Project Management| SQL| Spark| MATLAB| Python,National Renewable Energy Laboratory,78,3.700000048,2,CO,,Government
Data Analyst,Data Analysis,Lutron Electronics,79,3.700000048,30,PA,,Consumer Goods and Services
Data Analyst-Revenue,SQL| Tableau| Microsoft Access| Analysis Skills,The Vancouver Clinic,79,2.900000095,30,WA,"Less than 10,000",Health Care
Data Analyst,Business Intelligence| Data Mining| Microsoft SQL Server| Machine Learning| Oracle| SQL| Sybase| Data Warehouse,Ascensus,79,3.099999905,30,MN,"Less than 10,000",Banks and Financial Services
Data Analyst,Business Intelligence| Data Mining| Microsoft SQL Server| Machine Learning| Oracle| SQL| Sybase| Data Warehouse,Ascensus,79,3.099999905,30,PA,"Less than 10,000",Banks and Financial Services
"Data Analyst 3, Words with Friends",Data Warehouse| R| Statisical Analysis| Python| SQL| Tableau,Zynga,79,3.799999952,22,CA,,
"Senior Product Manager, Analytics",Analysis Skills| Google Cloud Platform| Azure| AWS,Zynga,79,3.799999952,4,CA,,
Market Data Analyst,Analysis Skills,Intercontinental Exchange,81,3.5,26,NY,,Banks and Financial Services
Clinical Data Analyst,,Gila River Health Care,81,3.400000095,30,AZ,,Health Care
"Senior/Data Analyst, Marketing Data & Intelligence (North Am...",Google AdWords| Time Management| Marketing| SQL,WeWork,81,3.200000048,7,CA,,Consulting and Business Services
Senior Data Analyst - Marketing Insights & Analytics,Google AdWords| Customer Segmentation| Marketing Automation| Marketing| SQL| Doubleclick,WeWork,81,3.200000048,7,NY,,Consulting and Business Services
"Director, Data & Analytics",Sentiment Analytics| Python| SQL,WeWork,81,3.200000048,30,NY,,Consulting and Business Services
DATA ANALYST,Data Warehouse,Diverse Lynx,82,4.800000191,1,TX,,Internet and Software
Sr Data Analyst,R| SAS| SQL| SPSS| Python,Mountain America Credit Union,82,4.099999905,30,UT,,Banks and Financial Services
Data Analyst - Pharmacy,,Keck Medical Center of USC,83,4.099999905,30,CA,,Health Care
Reporting / Operations / Data Analyst,Visual Basic| Oracle| Excel| SQL| Python,Fitch Group,83,3.799999952,19,NY,,
Medication Utilization Data Analyst,JavaScript| Data Analysis| CSS| Excel| HTML5| SQL,University of Virginia Health System,84,3.599999905,4,VA,"Less than 10,000",Health Care
"Principal Quantitative Analyst, Advanced Analytics- New York...",Machine Learning| Predictive Analytics| Spark| Python,Finra,84,3.799999952,30,NY,"Less than 10,000",Banks and Financial Services
Data Analyst (Public Trust Clearable),Excel| Supply Chain Experience| Tableau,ECS Federal LLC,85,3.599999905,8,MD,,Consulting and Business Services
Data Analyst,Excel,"Medifast, Inc",85,3.5,30,MD,"Less than 10,000",Consumer Goods and Services
Bike Share Data Analyst,Analysis Skills| Python,NYC Careers,86,4.099999905,30,NY,,Government
Data Analyst-HEDIS & Star,Microsoft SQL Server| SAS| SQL| Microsoft Office| Managed Care,SCAN Health Plan,87,4,8,CA,,Insurance
RCM Data Analyst II,Data Analysis| Power BI| SQL,NextGen Healthcare,87,3.400000095,7,MO,"Less than 10,000",Internet and Software
Healthcare Data Analyst,Microsoft SQL Server| Microsoft Powerpoint| Crystal Reports| Excel| SQL| Tableau| Microsoft Access,Emerson Hospital,87,3.900000095,6,MA,,Health Care
Healthcare Data Analyst,Microsoft SQL Server| Microsoft Powerpoint| Crystal Reports| Excel| SQL| Tableau| Microsoft Access,Emerson Hospital,87,3.900000095,5,MA,,Health Care
Healthcare Data Analyst,Quantitative Analysis| Time Management| R| SAS| Python| Excel| SQL,Milliman,87,3.700000048,30,IN,,
Healthcare Data Analyst,Visual Basic| SAS| SQL| CPT Coding| Excel| ICD-9| Medical Insurance| Medical Coding,Milliman,87,3.700000048,30,NJ,,
Data Analyst - HRA,Visual Basic| R| SAS| SQL| Data Analysis| Python,SCAN Health Plan,87,4,1,CA,,Insurance
Production Data Analyst,Time Management| Microsoft Powerpoint| Oracle| Tableau| Microsoft Word| Data Analysis,Cambria,87,2.799999952,30,MN,"Less than 10,000",Consumer Goods and Services
Data Analyst,Data Mining| Microsoft Powerpoint| XML| Power BI| R| SAS| SQL| Tableau| Microsoft Word| SPSS| QlikView| Data Analysis,ResMed,88,3.799999952,6,CA,"Less than 10,000",Industrial Manufacturing
Academic Affairs Data Analyst,Qualtrics| Microsoft Office| SQL| HTML5| SPSS| Data Analysis,Georgia Military College,89,4.099999905,20,GA,,Education and Schools
Financial Reporting and Data Analyst,Data Mining| ERP Systems| SAP| R| SQL| Excel| Tableau| Python| Financial Modeling,EBSCO Industries Inc,89,3.700000048,6,NH,,
Senior Data Analyst,Time Management| SQL| Excel| Tableau| Data Analysis| Business Analysis,EBSCO Industries Inc,89,3.700000048,24,MA,,
"Data Analyst, Front End Claims",Microsoft Powerpoint| SQL| Windows| Managed Care,Evolent Health,90,3.700000048,11,KY,"Less than 10,000",Health Care
Data Analyst,Confluence| XML| SAS| Jira| SQL,Evolent Health,90,3.700000048,30,IL,"Less than 10,000",Health Care
Data Analyst,Data Warehouse| R| SAS| Python| SQL| Excel,Success Academy Charter Schools,91,2.599999905,30,NY,"Less than 10,000",Education and Schools
Data Analyst,Java| Perl| R| Python| SQL,New York Blood Center,91,3.799999952,30,NY,,Organization
Staff Business Systems/Data Analyst,Business Intelligence| QlikView| SAP| Oracle| SQL| Tableau,SunPower Corporation,91,3.700000048,2,CA,,
Enterprise Data Analyst,Microsoft SQL Server| ERP Systems| Data Warehouse| Power BI| Data Analysis| SAP| GIS,Esri,92,3.799999952,30,CA,"Less than 10,000",Internet and Software
Data Analyst,Business Intelligence| Time Management| Power BI| R| SAS| SQL| Microsoft Office| Excel| Tableau| Python,Swiss Re,93,4.099999905,30,NY,"10,000+",Insurance
Data Analyst III-ETL,Java| Microsoft Project| Microsoft SQL Server| XML| Visio| Oracle| SQL,Arthrex,93,3.799999952,1,NY,"Less than 10,000",Industrial Manufacturing
Data Analyst - DAS,Data Mining| Microsoft SQL Server| Data Management| R| Oracle| SAS| SQL| Sybase| MySQL,GroupM,95,3.799999952,18,NY,"10,000+","Media, News and Publishing"
Data Analyst - DAS,Data Mining| Microsoft SQL Server| Data Management| R| Oracle| SAS| SQL| Sybase| MySQL,GroupM,95,3.799999952,30,NY,"10,000+","Media, News and Publishing"
Director Data & Analytics Digital Media,Microsoft Powerpoint| R| SAS| Omniture| Microsoft Office| Tableau| SPSS| Leadership Experience| Doubleclick| Python,GroupM,95,3.799999952,30,NY,"10,000+","Media, News and Publishing"
Business Data Analyst,Data Mining| Microsoft SQL Server| Data Warehouse| Microsoft Powerpoint| Data Analysis| SAS| Microsoft Office,Alltran,96,2.700000048,1,MN,"Less than 10,000",Banks and Financial Services
Data Analyst,Data Mining| Statisical Analysis,Ingram Content Group,96,3.200000048,21,TN,"Less than 10,000",
Customer Data Analyst,Project Management| Excel,Logitech,97,4,30,CA,"Less than 10,000",Industrial Manufacturing
Enterprise Analytics Data Analyst II,Crystal Reports| SQL,Self Regional Healthcare,98,3.900000095,10,SC,,Health Care
Senior Data Analyst,Salesforce CRM| Business Intelligence| Microsoft Powerpoint| SQL| Excel| Microsoft Office| Tableau| Business Analysis,Forcepoint,98,3.099999905,30,TX,,
"Data Analyst, Virtual Health",SAS| Oracle| SQL| Tableau,Children's Medical Center,99,3.700000048,30,TX,,Health Care
Master Data Analyst,Data Mining| ERP Systems| Microsoft Office,BlueLinx Corporation,99,3.200000048,30,GA,,
Healthcare Data Analyst I,Data Mining| Microsoft SQL Server| SPSS| SAS| Crystal Reports| Excel| Microsoft Access,Inland Empire Health Plan,99,3.599999905,4,CA,"Less than 10,000",Health Care
Healthcare Data Analyst II,Data Mining| Microsoft SQL Server| Microsoft Powerpoint| SAS| Crystal Reports| Excel| Microsoft Access| Design Experience| SPSS,Inland Empire Health Plan,99,3.599999905,30,CA,"Less than 10,000",Health Care
